date,channel,spend,revenue,impressions,clicks,conversions,new_customers,returning_customers
2025-01-01,Google Ads,120.50,450.00,2000,150,20,5,15
2025-01-02,Facebook Ads,95.00,320.00,1500,120,15,3,12
2025-01-03,LinkedIn Ads,80.00,280.00,800,90,12,2,10
2025-01-04,Google Ads,135.00,520.00,2200,165,25,7,18
2025-01-05,Facebook Ads,110.00,380.00,1600,135,18,4,14
2025-01-06,Twitter Ads,65.00,210.00,600,75,10,2,8
2025-01-07,Google Ads,140.00,550.00,2400,180,28,8,20
2025-01-08,Facebook Ads,100.00,350.00,1550,125,16,3,13
2025-01-09,LinkedIn Ads,85.00,300.00,850,95,13,3,10
2025-01-10,Google Ads,125.00,480.00,2100,160,22,6,16

